"county_name","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic_3_8","count_wsas_ela_basic_or_below_basic_3_8","count_wsas_students_3_8","percent_wsas_ela_below_basic_3_8","percent_wsas_ela_basic_or_below_basic_3_8","count_wsas_ela_below_basic_3_5","count_wsas_ela_basic_or_below_basic_3_5","count_wsas_students_3_5","percent_wsas_ela_below_basic_3_5","percent_wsas_ela_basic_or_below_basic_3_5","count_wsas_ela_below_basic_6_8","count_wsas_ela_basic_or_below_basic_6_8","count_wsas_students_6_8","percent_wsas_ela_below_basic_6_8","percent_wsas_ela_basic_or_below_basic_6_8"
"Adams","51","82",110,"46.4","74.5","36","31","1",132,"0.8","120",131,"91.6","270","514",688,"39.2","74.7","107","241",344,"31.1","70.1","163","273",344,"47.4","79.4"
"Ashland","79","148",217,"36.4","68.2","40","42","0",209,"0","188",211,"89.1","271","716",1162,"23.3","61.6","115","330",593,"19.4","55.6","156","386",569,"27.4","67.8"
"Barron","153","341",575,"26.6","59.3","45","48","24",589,"4.1","518",562,"92.2","577","1749",3247,"17.8","53.9","307","874",1652,"18.6","52.9","270","875",1595,"16.9","54.9"
"Bayfield","35","67",115,"30.4","58.3","52","48","0",147,"0","132",139,"95","96","342",648,"14.8","52.8","41","165",317,"12.9","52.1","55","177",331,"16.6","53.5"
"Brown","949","1844",3179,"29.9","58","45","48","192",3383,"5.7","2931",3257,"90","4338","11012",19470,"22.3","56.6","2164","5410",9907,"21.8","54.6","2174","5602",9563,"22.7","58.6"
"Buffalo","32","82",141,"22.7","58.2","45","48","1",142,"0.7","136",140,"97.1","125","456",858,"14.6","53.1","56","210",407,"13.8","51.6","69","246",451,"15.3","54.5"
"Burnett","93","188",281,"33.1","66.9","40","42","3",298,"1","225",271,"83","202","586",985,"20.5","59.5","73","258",444,"16.4","58.1","129","328",541,"23.8","60.6"
"Calumet","86","204",317,"27.1","64.4","45","48","4",278,"1.4","258",267,"96.6","246","831",1657,"14.8","50.2","120","398",773,"15.5","51.5","126","433",884,"14.3","49"
"Chippewa","204","432",676,"30.2","63.9","45","48","1",701,"0.1","603",668,"90.3","724","2203",4010,"18.1","54.9","362","1071",2025,"17.9","52.9","362","1132",1985,"18.2","57"
"Clark","130","245",395,"32.9","62","40","42","9",370,"2.4","347",361,"96.1","452","1325",2113,"21.4","62.7","215","610",1019,"21.1","59.9","237","715",1094,"21.7","65.4"
"Columbia","185","432",741,"25","58.3","45","48","3",715,"0.4","638",678,"94.1","690","2204",3933,"17.5","56","338","1076",1949,"17.3","55.2","352","1128",1984,"17.7","56.9"
"Crawford","57","120",169,"33.7","71","40","36","0",165,"0","157",167,"94","137","477",908,"15.1","52.5","66","232",454,"14.5","51.1","71","245",454,"15.6","54"
"Dane","1191","2555",5715,"20.8","44.7","58","61","283",6110,"4.6","5025",5610,"89.6","6688","16803",33275,"20.1","50.5","3409","8496",16711,"20.4","50.8","3279","8307",16564,"19.8","50.2"
"Dodge","153","359",594,"25.8","60.4","45","48","11",682,"1.6","578",632,"91.5","618","1842",3467,"17.8","53.1","236","812",1697,"13.9","47.8","382","1030",1770,"21.6","58.2"
"Door","45","137",278,"16.2","49.3","58","55","1",291,"0.3","271",284,"95.4","179","641",1491,"12","43","103","345",743,"13.9","46.4","76","296",748,"10.2","39.6"
"Douglas","131","260",436,"30","59.6","40","42","2",488,"0.4","406",456,"89","508","1469",2721,"18.7","54","249","723",1398,"17.8","51.7","259","746",1323,"19.6","56.4"
"Dunn","109","269",464,"23.5","58","45","48","6",436,"1.4","367",406,"90.4","408","1411",2600,"15.7","54.3","207","691",1300,"15.9","53.2","201","720",1300,"15.5","55.4"
"Eau Claire","202","489",1023,"19.7","47.8","58","55","13",1108,"1.2","874",1006,"86.9","995","3127",6145,"16.2","50.9","483","1559",3168,"15.2","49.2","512","1568",2977,"17.2","52.7"
"Florence","Redacted","Redacted",19,"Redacted","Redacted","Redacted","Redacted","0",31,"0","30",32,"93.8","29","90",152,"19.1","59.2","15","44",77,"19.5","57.1","14","46",75,"18.7","61.3"
"Fond du Lac","361","736",1139,"31.7","64.6","40","42","18",1203,"1.5","1022",1141,"89.6","1012","3339",6573,"15.4","50.8","549","1679",3352,"16.4","50.1","463","1660",3221,"14.4","51.5"
"Forest","47","82",112,"42","73.2","36","36","0",116,"0","95",102,"93.1","175","390",658,"26.6","59.3","95","209",337,"28.2","62","80","181",321,"24.9","56.4"
"Grant","116","289",509,"22.8","56.8","52","48","2",522,"0.4","479",507,"94.5","511","1636",3036,"16.8","53.9","235","766",1515,"15.5","50.6","276","870",1521,"18.1","57.2"
"Green","97","218",372,"26.1","58.6","45","48","4",423,"0.9","395",413,"95.6","361","1262",2419,"14.9","52.2","171","617",1167,"14.7","52.9","190","645",1252,"15.2","51.5"
"Green Lake","68","148",235,"28.9","63","45","42","1",259,"0.4","239",255,"93.7","216","723",1297,"16.7","55.7","94","334",609,"15.4","54.8","122","389",688,"17.7","56.5"
"Iowa","49","131",246,"19.9","53.3","52","55","2",246,"0.8","238",243,"97.9","233","794",1500,"15.5","52.9","138","430",761,"18.1","56.5","95","364",739,"12.9","49.3"
"Iron","17","37",47,"36.2","78.7","36","42","0",49,"0","46",48,"95.8","33","162",332,"9.9","48.8","9","69",167,"5.4","41.3","24","93",165,"14.5","56.4"
"Jackson","78","163",229,"34.1","71.2","40","42","2",221,"0.9","201",224,"89.7","290","810",1357,"21.4","59.7","163","417",689,"23.7","60.5","127","393",668,"19","58.8"
"Jefferson","242","564",979,"24.7","57.6","45","48","23",1084,"2.1","747",1046,"71.4","1015","2976",5182,"19.6","57.4","475","1427",2541,"18.7","56.2","540","1549",2641,"20.4","58.7"
"Juneau","99","198",292,"33.9","67.8","40","42","0",297,"0","256",286,"89.5","376","1036",1609,"23.4","64.4","173","490",787,"22","62.3","203","546",822,"24.7","66.4"
"Kenosha","710","1415",2245,"31.6","63","40","42","94",2629,"3.6","2065",2340,"88.2","2260","6524",12239,"18.5","53.3","1090","3255",6177,"17.6","52.7","1170","3269",6062,"19.3","53.9"
"Kewaunee","76","173",308,"24.7","56.2","52","48","1",323,"0.3","301",318,"94.7","163","679",1504,"10.8","45.1","73","289",707,"10.3","40.9","90","390",797,"11.3","48.9"
"La Crosse","238","614",1167,"20.4","52.6","52","55","16",1222,"1.3","1101",1188,"92.7","937","3351",7005,"13.4","47.8","423","1603",3528,"12","45.4","514","1748",3477,"14.8","50.3"
"Lafayette","41","105",176,"23.3","59.7","45","48","1",240,"0.4","230",240,"95.8","253","744",1234,"20.5","60.3","105","363",619,"17","58.6","148","381",615,"24.1","62"
"Langlade","77","170",256,"30.1","66.4","40","42","2",251,"0.8","212",237,"89.5","303","777",1194,"25.4","65.1","132","363",577,"22.9","62.9","171","414",617,"27.7","67.1"
"Lincoln","109","203",318,"34.3","63.8","40","42","2",359,"0.6","340",362,"93.9","405","1105",1947,"20.8","56.8","206","546",958,"21.5","57","199","559",989,"20.1","56.5"
"Manitowoc","204","463",819,"24.9","56.5","45","48","13",908,"1.4","763",841,"90.7","753","2448",4541,"16.6","53.9","385","1227",2277,"16.9","53.9","368","1221",2264,"16.3","53.9"
"Marathon","328","809",1471,"22.3","55","52","48","20",1520,"1.3","1372",1467,"93.5","1340","4421",8486,"15.8","52.1","695","2186",4283,"16.2","51","645","2235",4203,"15.3","53.2"
"Marinette","148","303",458,"32.3","66.2","40","42","1",479,"0.2","428",465,"92","559","1604",2679,"20.9","59.9","264","766",1309,"20.2","58.5","295","838",1370,"21.5","61.2"
"Marquette","47","91",147,"32","61.9","45","36","4",149,"2.7","128",145,"88.3","171","456",717,"23.8","63.6","91","231",359,"25.3","64.3","80","225",358,"22.3","62.8"
"Menominee","48","59",70,"68.6","84.3","21","21","0",78,"0","59",76,"77.6","207","312",346,"59.8","90.2","117","180",196,"59.7","91.8","90","132",150,"60","88"
"Milwaukee","3202","5625",9428,"34","59.7","40","36","309",9590,"3.2","7753",10108,"76.7","19645","38737",58721,"33.5","66","10656","20152",30361,"35.1","66.4","8989","18585",28360,"31.7","65.5"
"Monroe","178","354",542,"32.8","65.3","40","42","3",547,"0.5","504",531,"94.9","634","1849",3139,"20.2","58.9","314","936",1618,"19.4","57.8","320","913",1521,"21","60"
"Oconto","86","181",288,"29.9","62.8","40","48","1",332,"0.3","285",309,"92.2","275","967",1816,"15.1","53.2","123","449",898,"13.7","50","152","518",918,"16.6","56.4"
"Oneida","110","244",403,"27.3","60.5","45","48","0",408,"0","367",403,"91.1","356","962",1590,"22.4","60.5","162","475",783,"20.7","60.7","194","487",807,"24","60.3"
"Outagamie","622","1427",2745,"22.7","52","52","55","54",2699,"2","2340",2588,"90.4","2473","7781",15217,"16.3","51.1","1234","3742",7492,"16.5","49.9","1239","4039",7725,"16","52.3"
"Ozaukee","117","332",1047,"11.2","31.7","69","66","4",1178,"0.3","1109",1150,"96.4","428","1798",5272,"8.1","34.1","185","763",2500,"7.4","30.5","243","1035",2772,"8.8","37.3"
"Pepin","19","45",88,"21.6","51.1","52","55","0",95,"0","82",84,"97.6","80","264",485,"16.5","54.4","45","141",258,"17.4","54.7","35","123",227,"15.4","54.2"
"Pierce","97","268",546,"17.8","49.1","52","55","2",591,"0.3","551",575,"95.8","370","1476",3479,"10.6","42.4","171","733",1694,"10.1","43.3","199","743",1785,"11.1","41.6"
"Polk","129","316",538,"24","58.7","52","48","2",539,"0.4","494",525,"94.1","486","1617",3190,"15.2","50.7","259","821",1613,"16.1","50.9","227","796",1577,"14.4","50.5"
"Portage","196","404",689,"28.4","58.6","45","48","17",695,"2.4","612",669,"91.5","642","2045",3948,"16.3","51.8","322","1000",1967,"16.4","50.8","320","1045",1981,"16.2","52.8"
"Price","33","87",160,"20.6","54.4","45","48","2",147,"1.4","137",145,"94.5","170","493",817,"20.8","60.3","75","225",386,"19.4","58.3","95","268",431,"22","62.2"
"Racine","777","1415",2230,"34.8","63.5","40","42","114",2423,"4.7","1872",2265,"82.6","4032","8098",12067,"33.4","67.1","1961","4133",6181,"31.7","66.9","2071","3965",5886,"35.2","67.4"
"Richland","55","93",128,"43","72.7","40","42","0",131,"0","117",128,"91.4","164","474",761,"21.6","62.3","71","226",362,"19.6","62.4","93","248",399,"23.3","62.2"
"Rock","724","1385",2159,"33.5","64.2","40","42","77",2328,"3.3","1980",2157,"91.8","2554","6796",11961,"21.4","56.8","1213","3286",5971,"20.3","55","1341","3510",5990,"22.4","58.6"
"Rusk","65","106",153,"42.5","69.3","36","36","0",143,"0","123",138,"89.1","173","470",783,"22.1","60","83","223",379,"21.9","58.8","90","247",404,"22.3","61.1"
"Saint Croix","207","535",1091,"19","49","52","55","2",1076,"0.2","1008",1063,"94.8","715","2892",6519,"11","44.4","319","1373",3262,"9.8","42.1","396","1519",3257,"12.2","46.6"
"Sauk","211","512",912,"23.1","56.1","52","48","10",896,"1.1","767",845,"90.8","876","2737",5079,"17.2","53.9","456","1384",2533,"18","54.6","420","1353",2546,"16.5","53.1"
"Sawyer","66","113",161,"41","70.2","36","36","0",161,"0","129",147,"87.8","175","578",1050,"16.7","55","81","286",556,"14.6","51.4","94","292",494,"19","59.1"
"Shawano","114","282",433,"26.3","65.1","40","42","2",463,"0.4","373",409,"91.2","488","1437",2306,"21.2","62.3","251","742",1150,"21.8","64.5","237","695",1156,"20.5","60.1"
"Sheboygan","388","840",1477,"26.3","56.9","45","48","41",1620,"2.5","1455",1553,"93.7","1456","4471",8178,"17.8","54.7","707","2194",4140,"17.1","53","749","2277",4038,"18.5","56.4"
"Taylor","89","175",255,"34.9","68.6","40","42","3",241,"1.2","196",216,"90.7","202","745",1494,"13.5","49.9","109","346",751,"14.5","46.1","93","399",743,"12.5","53.7"
"Trempealeau","143","298",431,"33.2","69.1","40","42","11",422,"2.6","391",411,"95.1","528","1554",2588,"20.4","60","272","759",1271,"21.4","59.7","256","795",1317,"19.4","60.4"
"Vernon","84","184",319,"26.3","57.7","45","48","1",312,"0.3","291",305,"95.4","299","966",1750,"17.1","55.2","148","470",860,"17.2","54.7","151","496",890,"17","55.7"
"Vilas","24","70",121,"19.8","57.9","45","48","1",115,"0.9","107",109,"98.2","217","697",1316,"16.5","53","114","325",663,"17.2","49","103","372",653,"15.8","57"
"Walworth","325","689",1249,"26","55.2","45","48","37",1235,"3","1141",1226,"93.1","1127","3631",6922,"16.3","52.5","510","1715",3330,"15.3","51.5","617","1916",3592,"17.2","53.3"
"Washburn","55","107",165,"33.3","64.8","40","42","0",187,"0","168",181,"92.8","217","665",1129,"19.2","58.9","123","352",574,"21.4","61.3","94","313",555,"16.9","56.4"
"Washington","311","819",1654,"18.8","49.5","52","55","5",1748,"0.3","1561",1677,"93.1","901","3578",8373,"10.8","42.7","376","1591",4066,"9.2","39.1","525","1987",4307,"12.2","46.1"
"Waukesha","766","2157",5190,"14.8","41.6","58","61","54",5303,"1","4862",5128,"94.8","2926","11012",26776,"10.9","41.1","1363","5153",12929,"10.5","39.9","1563","5859",13847,"11.3","42.3"
"Waupaca","194","410",671,"28.9","61.1","45","42","6",717,"0.8","631",705,"89.5","495","1877",3608,"13.7","52","233","884",1784,"13.1","49.6","262","993",1824,"14.4","54.4"
"Waushara","69","135",194,"35.6","69.6","45","42","9",187,"4.8","160",176,"90.9","189","631",1074,"17.6","58.8","73","280",535,"13.6","52.3","116","351",539,"21.5","65.1"
"Winnebago","442","916",1654,"26.7","55.4","45","48","37",1737,"2.1","1496",1644,"91","1767","5017",9789,"18.1","51.3","978","2584",4939,"19.8","52.3","789","2433",4850,"16.3","50.2"
"Wood","238","523",948,"25.1","55.2","52","55","7",992,"0.7","841",910,"92.4","780","2621",5191,"15","50.5","388","1273",2649,"14.6","48.1","392","1348",2542,"15.4","53"
